case_id,idx,teacher_eu,student_eu,true_label,pred_teacher,pred_student,filename
0,7566,0.002896,0.091654,OOD (CIFAR-100),deer,deer,uncertainty_cam_000.png
1,8519,0.007828,0.119948,OOD (CIFAR-100),automobile,automobile,uncertainty_cam_001.png
2,6712,0.013149,0.050576,OOD (CIFAR-100),truck,truck,uncertainty_cam_002.png
3,8439,0.024513,0.105398,OOD (CIFAR-100),dog,dog,uncertainty_cam_003.png
4,5079,0.040616,0.203715,OOD (CIFAR-100),cat,cat,uncertainty_cam_004.png
5,9090,0.060267,0.136765,OOD (CIFAR-100),ship,ship,uncertainty_cam_005.png
6,8948,0.085741,0.064414,OOD (CIFAR-100),dog,dog,uncertainty_cam_006.png
7,7960,0.114166,0.308066,OOD (CIFAR-100),frog,frog,uncertainty_cam_007.png
8,7024,0.139140,0.274730,OOD (CIFAR-100),dog,dog,uncertainty_cam_008.png
9,779,0.162357,0.054015,OOD (CIFAR-100),bird,bird,uncertainty_cam_009.png
10,6544,0.185446,0.293385,OOD (CIFAR-100),deer,deer,uncertainty_cam_010.png
11,1808,0.208344,0.249691,OOD (CIFAR-100),truck,truck,uncertainty_cam_011.png
12,3959,0.228517,0.392177,OOD (CIFAR-100),frog,frog,uncertainty_cam_012.png
13,5460,0.248503,0.294280,OOD (CIFAR-100),truck,truck,uncertainty_cam_013.png
14,4191,0.266700,0.344382,OOD (CIFAR-100),dog,cat,uncertainty_cam_014.png
15,9703,0.283708,0.309889,OOD (CIFAR-100),bird,bird,uncertainty_cam_015.png
16,5742,0.298775,0.234451,OOD (CIFAR-100),frog,frog,uncertainty_cam_016.png
17,8684,0.314719,0.321311,OOD (CIFAR-100),cat,cat,uncertainty_cam_017.png
18,1349,0.332128,0.192206,OOD (CIFAR-100),deer,deer,uncertainty_cam_018.png
19,2671,0.346738,0.319865,OOD (CIFAR-100),frog,bird,uncertainty_cam_019.png
20,3235,0.360047,0.329909,OOD (CIFAR-100),truck,truck,uncertainty_cam_020.png
21,8204,0.374199,0.362415,OOD (CIFAR-100),bird,bird,uncertainty_cam_021.png
22,1391,0.388157,0.313370,OOD (CIFAR-100),automobile,bird,uncertainty_cam_022.png
23,2654,0.402579,0.284080,OOD (CIFAR-100),ship,truck,uncertainty_cam_023.png
24,6352,0.418060,0.277963,OOD (CIFAR-100),airplane,ship,uncertainty_cam_024.png
25,7991,0.435508,0.270159,OOD (CIFAR-100),dog,dog,uncertainty_cam_025.png
26,2971,0.452070,0.276255,OOD (CIFAR-100),dog,dog,uncertainty_cam_026.png
27,6094,0.469288,0.389014,OOD (CIFAR-100),deer,dog,uncertainty_cam_027.png
28,5395,0.489514,0.318003,OOD (CIFAR-100),cat,bird,uncertainty_cam_028.png
29,919,0.510964,0.304926,OOD (CIFAR-100),cat,bird,uncertainty_cam_029.png
30,1828,0.536603,0.202582,OOD (CIFAR-100),airplane,airplane,uncertainty_cam_030.png
31,4042,0.567714,0.364087,OOD (CIFAR-100),frog,airplane,uncertainty_cam_031.png
32,8344,0.607822,0.405494,OOD (CIFAR-100),frog,airplane,uncertainty_cam_032.png
33,96,0.671149,0.321810,OOD (CIFAR-100),cat,frog,uncertainty_cam_033.png
34,8521,1.068462,0.401106,OOD (CIFAR-100),bird,frog,uncertainty_cam_034.png
