case_id,idx,teacher_eu,student_eu,true_label,pred_teacher,pred_student,filename
0,25506,0.004776,0.059738,OOD (SVHN),dog,dog,uncertainty_cam_000.png
1,5116,0.116875,0.271494,OOD (SVHN),airplane,airplane,uncertainty_cam_001.png
2,3025,0.181241,0.375381,OOD (SVHN),dog,bird,uncertainty_cam_002.png
3,503,0.223311,0.332662,OOD (SVHN),airplane,cat,uncertainty_cam_003.png
4,3111,0.253370,0.379134,OOD (SVHN),cat,cat,uncertainty_cam_004.png
5,14077,0.276218,0.329766,OOD (SVHN),airplane,airplane,uncertainty_cam_005.png
6,22754,0.294672,0.362132,OOD (SVHN),airplane,ship,uncertainty_cam_006.png
7,23892,0.311304,0.349361,OOD (SVHN),bird,bird,uncertainty_cam_007.png
8,9471,0.325811,0.329070,OOD (SVHN),airplane,airplane,uncertainty_cam_008.png
9,8052,0.338663,0.218342,OOD (SVHN),dog,dog,uncertainty_cam_009.png
10,8047,0.351825,0.366902,OOD (SVHN),frog,dog,uncertainty_cam_010.png
11,6707,0.364748,0.360531,OOD (SVHN),bird,cat,uncertainty_cam_011.png
12,14850,0.375188,0.372552,OOD (SVHN),dog,dog,uncertainty_cam_012.png
13,8021,0.387613,0.373137,OOD (SVHN),bird,bird,uncertainty_cam_013.png
14,2152,0.398387,0.359573,OOD (SVHN),cat,truck,uncertainty_cam_014.png
15,8445,0.409180,0.320160,OOD (SVHN),cat,dog,uncertainty_cam_015.png
16,15788,0.419256,0.362418,OOD (SVHN),cat,cat,uncertainty_cam_016.png
17,17314,0.429634,0.340615,OOD (SVHN),cat,cat,uncertainty_cam_017.png
18,15345,0.440299,0.375027,OOD (SVHN),airplane,cat,uncertainty_cam_018.png
19,11224,0.450140,0.264264,OOD (SVHN),airplane,airplane,uncertainty_cam_019.png
20,16388,0.460547,0.349385,OOD (SVHN),bird,dog,uncertainty_cam_020.png
21,6186,0.471257,0.316108,OOD (SVHN),dog,cat,uncertainty_cam_021.png
22,1548,0.483427,0.306481,OOD (SVHN),dog,cat,uncertainty_cam_022.png
23,21744,0.495415,0.368143,OOD (SVHN),deer,dog,uncertainty_cam_023.png
24,14547,0.507176,0.340486,OOD (SVHN),airplane,cat,uncertainty_cam_024.png
25,13826,0.519836,0.351705,OOD (SVHN),cat,cat,uncertainty_cam_025.png
26,13804,0.533526,0.349453,OOD (SVHN),airplane,cat,uncertainty_cam_026.png
27,7254,0.549033,0.386879,OOD (SVHN),frog,bird,uncertainty_cam_027.png
28,4167,0.564623,0.325661,OOD (SVHN),bird,airplane,uncertainty_cam_028.png
29,3910,0.582728,0.365806,OOD (SVHN),bird,bird,uncertainty_cam_029.png
30,10963,0.603036,0.359506,OOD (SVHN),airplane,cat,uncertainty_cam_030.png
31,5336,0.627173,0.384652,OOD (SVHN),truck,dog,uncertainty_cam_031.png
32,8107,0.658560,0.336087,OOD (SVHN),cat,dog,uncertainty_cam_032.png
33,19062,0.704681,0.356098,OOD (SVHN),bird,cat,uncertainty_cam_033.png
34,16505,1.140677,0.344346,OOD (SVHN),dog,cat,uncertainty_cam_034.png
