case_id,idx,teacher_eu,student_eu,true_label,pred_teacher,pred_student,filename
0,7525,0.003086,0.040640,True: ship,ship,ship,uncertainty_cam_000.png
1,1111,0.119281,0.289651,True: ship,airplane,airplane,uncertainty_cam_001.png
2,7006,0.190871,0.408257,True: frog,frog,bird,uncertainty_cam_002.png
3,927,0.233468,0.397060,True: frog,cat,dog,uncertainty_cam_003.png
4,5461,0.262728,0.351219,True: airplane,airplane,cat,uncertainty_cam_004.png
5,2023,0.284761,0.354349,True: dog,cat,cat,uncertainty_cam_005.png
6,5390,0.302345,0.388260,True: automobile,frog,bird,uncertainty_cam_006.png
7,3565,0.317961,0.375366,True: automobile,dog,airplane,uncertainty_cam_007.png
8,5411,0.332871,0.370747,True: bird,frog,cat,uncertainty_cam_008.png
9,9305,0.346222,0.405663,True: dog,frog,frog,uncertainty_cam_009.png
10,4763,0.358785,0.375940,True: airplane,cat,cat,uncertainty_cam_010.png
11,1641,0.369989,0.369716,True: frog,frog,frog,uncertainty_cam_011.png
12,4392,0.380618,0.327416,True: dog,cat,cat,uncertainty_cam_012.png
13,8239,0.392448,0.316757,True: ship,ship,ship,uncertainty_cam_013.png
14,1823,0.402770,0.256465,True: airplane,cat,cat,uncertainty_cam_014.png
15,4292,0.413021,0.330813,True: automobile,frog,frog,uncertainty_cam_015.png
16,2732,0.423288,0.407878,True: horse,bird,bird,uncertainty_cam_016.png
17,2769,0.433666,0.430370,True: bird,bird,bird,uncertainty_cam_017.png
18,1418,0.444562,0.384355,True: frog,frog,frog,uncertainty_cam_018.png
19,6857,0.454842,0.381124,True: bird,bird,bird,uncertainty_cam_019.png
20,5296,0.465488,0.362335,True: deer,airplane,frog,uncertainty_cam_020.png
21,2404,0.476536,0.363989,True: airplane,bird,bird,uncertainty_cam_021.png
22,1904,0.488023,0.377500,True: automobile,deer,airplane,uncertainty_cam_022.png
23,4423,0.499177,0.289743,True: frog,cat,cat,uncertainty_cam_023.png
24,1357,0.510663,0.419401,True: truck,cat,cat,uncertainty_cam_024.png
25,4532,0.524552,0.465389,True: automobile,frog,frog,uncertainty_cam_025.png
26,8043,0.538743,0.378724,True: airplane,bird,frog,uncertainty_cam_026.png
27,2314,0.553717,0.371752,True: cat,cat,dog,uncertainty_cam_027.png
28,4429,0.571531,0.327155,True: bird,bird,bird,uncertainty_cam_028.png
29,6275,0.592116,0.385168,True: truck,airplane,airplane,uncertainty_cam_029.png
30,1464,0.616552,0.391545,True: automobile,ship,ship,uncertainty_cam_030.png
31,4025,0.643296,0.372055,True: automobile,airplane,cat,uncertainty_cam_031.png
32,5272,0.677785,0.385237,True: cat,bird,cat,uncertainty_cam_032.png
33,5250,0.733767,0.420782,True: horse,frog,bird,uncertainty_cam_033.png
34,1621,1.073076,0.368318,True: automobile,airplane,airplane,uncertainty_cam_034.png
