case_id,idx,teacher_eu,student_eu,true_label,pred_teacher,pred_student,filename
0,7749,0.002208,0.031976,True: automobile,automobile,automobile,uncertainty_cam_000.png
1,422,0.004385,0.080202,True: airplane,ship,ship,uncertainty_cam_001.png
2,7953,0.004889,0.046392,True: automobile,automobile,automobile,uncertainty_cam_002.png
3,2143,0.005232,0.002205,True: truck,truck,truck,uncertainty_cam_003.png
4,2641,0.005558,0.049405,True: deer,deer,deer,uncertainty_cam_004.png
5,3409,0.005836,0.000227,True: truck,truck,truck,uncertainty_cam_005.png
6,13,0.006139,0.007306,True: horse,horse,horse,uncertainty_cam_006.png
7,7371,0.006405,0.000156,True: frog,frog,frog,uncertainty_cam_007.png
8,2484,0.006688,0.001952,True: automobile,automobile,automobile,uncertainty_cam_008.png
9,5564,0.006995,0.036926,True: frog,frog,frog,uncertainty_cam_009.png
10,4082,0.007336,0.030783,True: frog,frog,frog,uncertainty_cam_010.png
11,968,0.007753,0.009165,True: automobile,automobile,automobile,uncertainty_cam_011.png
12,8984,0.008285,0.027248,True: frog,frog,frog,uncertainty_cam_012.png
13,9511,0.008992,0.041315,True: deer,deer,deer,uncertainty_cam_013.png
14,7542,0.010160,0.282970,True: ship,ship,ship,uncertainty_cam_014.png
15,5265,0.012302,0.075990,True: bird,bird,bird,uncertainty_cam_015.png
16,9553,0.015753,0.090364,True: horse,horse,horse,uncertainty_cam_016.png
17,823,0.021920,0.045282,True: ship,ship,ship,uncertainty_cam_017.png
18,3308,0.032270,0.081156,True: horse,horse,horse,uncertainty_cam_018.png
19,7768,0.047748,0.030158,True: ship,ship,ship,uncertainty_cam_019.png
20,361,0.070573,0.128002,True: dog,dog,dog,uncertainty_cam_020.png
21,119,0.100859,0.177564,True: horse,horse,horse,uncertainty_cam_021.png
22,8853,0.133855,0.276188,True: bird,bird,bird,uncertainty_cam_022.png
23,6945,0.172260,0.247240,True: dog,dog,dog,uncertainty_cam_023.png
24,5280,0.215522,0.384641,True: airplane,deer,cat,uncertainty_cam_024.png
25,6527,0.255081,0.229185,True: dog,dog,dog,uncertainty_cam_025.png
26,8518,0.293982,0.252851,True: truck,truck,frog,uncertainty_cam_026.png
27,6514,0.332294,0.269246,True: cat,cat,cat,uncertainty_cam_027.png
28,3761,0.363247,0.354459,True: airplane,airplane,airplane,uncertainty_cam_028.png
29,9567,0.395440,0.117938,True: horse,horse,horse,uncertainty_cam_029.png
30,6569,0.424612,0.258571,True: ship,ship,ship,uncertainty_cam_030.png
31,5586,0.455016,0.410739,True: ship,bird,ship,uncertainty_cam_031.png
32,882,0.500494,0.350616,True: cat,cat,bird,uncertainty_cam_032.png
33,7191,0.577164,0.329348,True: horse,deer,deer,uncertainty_cam_033.png
34,4013,1.052243,0.344164,True: automobile,frog,cat,uncertainty_cam_034.png
