case_id,idx,teacher_eu,student_eu,true_label,pred_teacher,pred_student,filename
0,9149,0.002421,0.030020,True: horse,horse,horse,uncertainty_cam_000.png
1,4433,0.004368,0.010657,True: dog,dog,dog,uncertainty_cam_001.png
2,3266,0.004863,0.019861,True: horse,horse,horse,uncertainty_cam_002.png
3,6099,0.005252,0.001359,True: horse,horse,horse,uncertainty_cam_003.png
4,8186,0.005558,0.041448,True: ship,ship,ship,uncertainty_cam_004.png
5,8205,0.005850,0.267839,True: bird,bird,bird,uncertainty_cam_005.png
6,3633,0.006110,0.112316,True: cat,cat,cat,uncertainty_cam_006.png
7,969,0.006354,0.031223,True: truck,truck,truck,uncertainty_cam_007.png
8,7085,0.006623,0.057675,True: dog,dog,dog,uncertainty_cam_008.png
9,4920,0.006899,0.083091,True: horse,horse,horse,uncertainty_cam_009.png
10,3486,0.007240,0.062532,True: frog,frog,frog,uncertainty_cam_010.png
11,574,0.007648,0.097793,True: frog,frog,frog,uncertainty_cam_011.png
12,213,0.008151,0.142754,True: truck,ship,ship,uncertainty_cam_012.png
13,7252,0.008819,0.047955,True: ship,ship,ship,uncertainty_cam_013.png
14,7477,0.010067,0.069201,True: airplane,airplane,airplane,uncertainty_cam_014.png
15,8843,0.012332,0.114579,True: ship,ship,ship,uncertainty_cam_015.png
16,5128,0.015964,0.101326,True: cat,cat,cat,uncertainty_cam_016.png
17,2216,0.021385,0.332334,True: bird,bird,bird,uncertainty_cam_017.png
18,4904,0.028734,0.335900,True: truck,truck,truck,uncertainty_cam_018.png
19,4790,0.043732,0.083663,True: automobile,automobile,automobile,uncertainty_cam_019.png
20,4593,0.060901,0.141259,True: dog,dog,dog,uncertainty_cam_020.png
21,9012,0.088202,0.390303,True: ship,ship,frog,uncertainty_cam_021.png
22,8547,0.118463,0.217654,True: frog,frog,frog,uncertainty_cam_022.png
23,6481,0.160899,0.302076,True: airplane,airplane,airplane,uncertainty_cam_023.png
24,8409,0.209281,0.187566,True: ship,ship,ship,uncertainty_cam_024.png
25,7048,0.250219,0.338638,True: bird,bird,bird,uncertainty_cam_025.png
26,7221,0.293309,0.160815,True: cat,cat,cat,uncertainty_cam_026.png
27,6320,0.330377,0.285152,True: airplane,airplane,airplane,uncertainty_cam_027.png
28,9269,0.365690,0.341005,True: dog,frog,cat,uncertainty_cam_028.png
29,9190,0.404373,0.125757,True: cat,deer,cat,uncertainty_cam_029.png
30,518,0.442490,0.333510,True: dog,dog,cat,uncertainty_cam_030.png
31,6887,0.470114,0.096859,True: deer,deer,deer,uncertainty_cam_031.png
32,7456,0.520465,0.358166,True: horse,horse,deer,uncertainty_cam_032.png
33,4315,0.603759,0.338819,True: frog,cat,frog,uncertainty_cam_033.png
34,2286,0.968495,0.397958,True: cat,cat,cat,uncertainty_cam_034.png
